,sol_0,sol_1,sol_2,sol_3,sol_4,sol_5,sol_6,sol_7,sol_8,sol_9,sol_10,sol_11,sol_12,sol_13,sol_14,sol_15,sol_16,sol_17,sol_18,sol_19,sol_20,sol_21,sol_22,sol_23,sol_24,sol_25,sol_26,sol_27,sol_28,sol_29,sol_30,sol_31,sol_32,sol_33,sol_34,sol_35,sol_36,sol_37,sol_38,sol_39,sol_40,sol_41,sol_42,sol_43,sol_44,sol_45,sol_46,sol_47,sol_48,sol_49
0,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2,BKERSFLD_P2
1,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP,CCCSD_WWTP
2,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant,City of San Mateo & Estero M.I.D. Water Quality Control Plant
3,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD,EBMUD
4,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent,City of Santa Cruz WTF - City Influent
5,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent,City of Santa Cruz WTF - County Influent
6,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP,Watsonville_WWTP
7,"City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant","City of Santa Rosa, Laguna Treatment Plant"
8,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility,City of Turlock Regional Water Quality Control Facility
9,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility,Modesto Wastewater Primary Treatment Facility
