date,cases,total_tests,County,pos_rate
2020-02-01,0.0,1.0,Stanislaus,0.0
2020-02-02,0.0,0.0,Stanislaus,0.0
2020-02-03,0.0,0.0,Stanislaus,0.0
2020-02-04,0.0,0.0,Stanislaus,0.0
2020-02-05,0.0,0.0,Stanislaus,0.0
2020-02-06,0.0,0.0,Stanislaus,0.0
2020-02-07,0.0,1.0,Stanislaus,0.0
2020-02-08,0.0,0.0,Stanislaus,inf
2020-02-09,0.0,0.0,Stanislaus,inf
2020-02-10,1.0,0.0,Stanislaus,inf
2020-02-11,0.0,1.0,Stanislaus,0.0
2020-02-12,0.0,0.0,Stanislaus,0.0
2020-02-13,0.0,0.0,Stanislaus,0.0
2020-02-14,0.0,0.0,Stanislaus,0.0
2020-02-15,0.0,0.0,Stanislaus,0.0
2020-02-16,0.0,0.0,Stanislaus,0.0
2020-02-17,0.0,1.0,Stanislaus,0.0
2020-02-18,0.0,0.0,Stanislaus,inf
2020-02-19,0.0,0.0,Stanislaus,inf
2020-02-20,1.0,0.0,Stanislaus,inf
2020-02-21,0.0,0.0,Stanislaus,inf
2020-02-22,0.0,0.0,Stanislaus,inf
2020-02-23,0.0,0.0,Stanislaus,inf
2020-02-24,0.0,0.0,Stanislaus,inf
2020-02-25,0.0,1.0,Stanislaus,0.0
2020-02-26,0.0,0.0,Stanislaus,0.0
2020-02-27,0.0,0.0,Stanislaus,0.0
2020-02-28,0.0,2.0,Stanislaus,0.0
2020-02-29,0.0,0.0,Stanislaus,0.0
2020-03-01,0.0,1.0,Stanislaus,0.0
2020-03-02,0.0,3.0,Stanislaus,0.0
2020-03-03,2.0,0.0,Stanislaus,inf
2020-03-04,0.0,6.0,Stanislaus,0.0
2020-03-05,0.0,2.0,Stanislaus,0.0
2020-03-06,1.0,20.0,Stanislaus,0.05
2020-03-07,4.0,2.0,Stanislaus,2.0
2020-03-08,1.0,2.0,Stanislaus,0.5
2020-03-09,1.0,13.0,Stanislaus,0.07692307692307693
2020-03-10,0.0,6.0,Stanislaus,0.0
2020-03-11,4.0,20.0,Stanislaus,0.2
2020-03-12,0.0,65.0,Stanislaus,0.0
2020-03-13,2.0,100.0,Stanislaus,0.02
2020-03-14,5.0,56.0,Stanislaus,0.08928571428571429
2020-03-15,4.0,50.0,Stanislaus,0.08
2020-03-16,1.0,86.0,Stanislaus,0.011627906976744186
2020-03-17,4.0,97.0,Stanislaus,0.041237113402061855
2020-03-18,3.0,92.0,Stanislaus,0.03260869565217391
2020-03-19,4.0,68.0,Stanislaus,0.058823529411764705
2020-03-20,1.0,100.0,Stanislaus,0.01
2020-03-21,6.0,42.0,Stanislaus,0.14285714285714285
2020-03-22,6.0,28.0,Stanislaus,0.21428571428571427
2020-03-23,6.0,119.0,Stanislaus,0.05042016806722689
2020-03-24,8.0,100.0,Stanislaus,0.08
2020-03-25,9.0,111.0,Stanislaus,0.08108108108108109
2020-03-26,7.0,122.0,Stanislaus,0.05737704918032787
2020-03-27,2.0,136.0,Stanislaus,0.014705882352941176
2020-03-28,2.0,56.0,Stanislaus,0.03571428571428571
2020-03-29,5.0,61.0,Stanislaus,0.08196721311475409
2020-03-30,5.0,141.0,Stanislaus,0.03546099290780142
2020-03-31,7.0,126.0,Stanislaus,0.05555555555555555
2020-04-01,15.0,123.0,Stanislaus,0.12195121951219512
2020-04-02,11.0,93.0,Stanislaus,0.11827956989247312
2020-04-03,11.0,142.0,Stanislaus,0.07746478873239436
2020-04-04,6.0,73.0,Stanislaus,0.0821917808219178
2020-04-05,11.0,53.0,Stanislaus,0.20754716981132076
2020-04-06,14.0,120.0,Stanislaus,0.11666666666666667
2020-04-07,16.0,182.0,Stanislaus,0.08791208791208792
2020-04-08,17.0,155.0,Stanislaus,0.10967741935483871
2020-04-09,16.0,167.0,Stanislaus,0.09580838323353294
2020-04-10,12.0,106.0,Stanislaus,0.11320754716981132
2020-04-11,7.0,81.0,Stanislaus,0.08641975308641975
2020-04-12,8.0,56.0,Stanislaus,0.14285714285714285
2020-04-13,8.0,183.0,Stanislaus,0.04371584699453552
2020-04-14,6.0,108.0,Stanislaus,0.05555555555555555
2020-04-15,13.0,164.0,Stanislaus,0.07926829268292683
2020-04-16,7.0,135.0,Stanislaus,0.05185185185185185
2020-04-17,3.0,180.0,Stanislaus,0.016666666666666666
2020-04-18,2.0,85.0,Stanislaus,0.023529411764705882
2020-04-19,8.0,66.0,Stanislaus,0.12121212121212122
2020-04-20,8.0,249.0,Stanislaus,0.0321285140562249
2020-04-21,14.0,279.0,Stanislaus,0.05017921146953405
2020-04-22,19.0,262.0,Stanislaus,0.07251908396946564
2020-04-23,57.0,451.0,Stanislaus,0.12638580931263857
2020-04-24,4.0,317.0,Stanislaus,0.012618296529968454
2020-04-25,3.0,157.0,Stanislaus,0.01910828025477707
2020-04-26,8.0,97.0,Stanislaus,0.08247422680412371
2020-04-27,15.0,283.0,Stanislaus,0.053003533568904596
2020-04-28,16.0,335.0,Stanislaus,0.04776119402985075
2020-04-29,16.0,292.0,Stanislaus,0.0547945205479452
2020-04-30,13.0,290.0,Stanislaus,0.04482758620689655
2020-05-01,7.0,299.0,Stanislaus,0.023411371237458192
2020-05-02,5.0,99.0,Stanislaus,0.050505050505050504
2020-05-03,8.0,91.0,Stanislaus,0.08791208791208792
2020-05-04,28.0,403.0,Stanislaus,0.06947890818858561
2020-05-05,6.0,302.0,Stanislaus,0.019867549668874173
2020-05-06,12.0,374.0,Stanislaus,0.03208556149732621
2020-05-07,16.0,355.0,Stanislaus,0.04507042253521127
2020-05-08,9.0,397.0,Stanislaus,0.022670025188916875
2020-05-09,14.0,116.0,Stanislaus,0.1206896551724138
2020-05-10,8.0,117.0,Stanislaus,0.06837606837606838
2020-05-11,7.0,376.0,Stanislaus,0.018617021276595744
2020-05-12,10.0,339.0,Stanislaus,0.029498525073746312
2020-05-13,7.0,301.0,Stanislaus,0.023255813953488372
2020-05-14,9.0,334.0,Stanislaus,0.02694610778443114
2020-05-15,19.0,358.0,Stanislaus,0.05307262569832402
2020-05-16,7.0,137.0,Stanislaus,0.051094890510948905
2020-05-17,9.0,117.0,Stanislaus,0.07692307692307693
2020-05-18,11.0,397.0,Stanislaus,0.027707808564231738
