"pop2023","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
3769485,3889834,-0.01042,"Los Angeles",468.956,34.0194,-118.411,"los-angeles-ca","CA",-118.411,34.0194,1,8038
1374076,1385394,-0.00273,"San Diego",325.877,32.815,-117.136,"san-diego-ca","CA",-117.136,32.815,2,4217
930862,1010908,-0.02712,"San Jose",177.808,37.2967,-121.819,"san-jose-ca","CA",-121.819,37.2967,3,5235
715717,870014,-0.063,"San Francisco",46.903,37.7272,-123.032,"san-francisco-ca","CA",-123.032,37.7272,4,15260
549242,542159,0.00434,"Fresno",114.725,36.7827,-119.794,"fresno-ca","CA",-119.794,36.7827,5,4787
528306,523416,0.0031,"Sacramento",97.73,38.5666,-121.469,"sacramento-ca","CA",-121.469,38.5666,6,5406
439153,464759,-0.01871,"Long Beach",50.696,33.7781,-118.167,"long-beach-ca","CA",-118.167,33.7781,7,8662
422994,439341,-0.01256,"Oakland",55.893,37.7698,-122.226,"oakland-ca","CA",-122.226,37.7698,8,7568
416175,403401,0.01044,"Bakersfield",149.758,35.3536,-119.037,"bakersfield-ca","CA",-119.037,35.3536,9,2779
343654,347089,-0.00331,"Anaheim",50.32,33.8236,-118.016,"anaheim-ca","CA",-118.016,33.8236,10,6829
324888,320745,0.00429,"Stockton",62.172,37.9763,-121.313,"stockton-ca","CA",-121.313,37.9763,11,5226
322538,314655,0.00828,"Riverside",81.258,33.9381,-117.393,"riverside-ca","CA",-117.393,33.9381,12,3969
314384,306389,0.00862,"Irvine",65.619,33.6784,-117.771,"irvine-ca","CA",-117.771,33.6784,13,4791
308549,309888,-0.00144,"Santa Ana",27.361,33.7363,-117.883,"santa-ana-ca","CA",-117.883,33.7363,14,11277
278734,276466,0.00273,"Chula Vista",49.641,32.6277,-117.015,"chula-vista-ca","CA",-117.015,32.6277,15,5615
223044,221784,0.00189,"San Bernardino",62.108,34.1411,-117.295,"san-bernardino-ca","CA",-117.295,34.1411,16,3591
219419,231673,-0.01795,"Fremont",77.465,37.501,-122.084,"fremont-ca","CA",-122.084,37.501,17,2832
219396,218459,0.00143,"Modesto",42.977,37.6375,-121.003,"modesto-ca","CA",-121.003,37.6375,18,5105
217003,228487,-0.01704,"Santa Clarita",70.755,34.4141,-118.495,"santa-clarita-ca","CA",-118.495,34.4141,19,3067
216456,209213,0.01141,"Moreno Valley",51.257,33.9233,-117.206,"moreno-valley-ca","CA",-117.206,33.9233,20,4223
214718,208810,0.00935,"Fontana",43.072,34.109,-117.463,"fontana-ca","CA",-117.463,34.109,21,4985
